customerID,firstName,lastName,credit_card_number,orderId,purchaseDate,shipDate,shipMode,productID,department,category,productName,quantity,price,shippingCost,discount,sales,profit,distrCenterId,shippingZipCode,homeZipCode,transactionStatus,city,region,state,country,segment,orderPriority,Order_Returned,Order_Delayed_Delivery,Likes_Product,rating,reviewID,friends,Shared_with
289-73-0611,Berniece,Lindgren,xxxx-xxxx-xxxx-9627,b14185f7-ec4a-4fb3-aa2d-b51e5d4486fa,Sat Nov 28 14:52:44 CST 2020,Sun Nov 29 14:47:35 CST 2020,Same Day,GRO-BE-2723-288,Grocery,Beans,Organic Red Beans,2,5.54,2.5,1.66,11.92,1.6688,DistributionCenter_55,33128,33128,Approved,Miami,North,FL,USA,Home Office,High,NO,NO,,,,149-06-6168;415-30-9564;662-07-9109;433-07-5366;587-63-1043,
638-64-2764,Arvel,Grady,xxxx-xxxx-xxxx-0584,16a218ef-2d9e-44b2-ba1b-e15481bdaa93,Sat Nov 28 14:53:16 CST 2020,Wed Dec 02 14:59:03 CST 2020,Second Class,OFF-AP-2314-598,Office Supplies,Appliances,Philips Refrigerator - Blue,1,338.87,27.56,24.38,342.05,27.364,DistributionCenter_41,90079,90079,Approved,Los Angeles,West,CA,USA,Consumer,Critical,NO,NO,No,2,r16a218ef-2d9e-44b2-ba1b-e15481bdaa93,,
515-19-6001,Foster,Okuneva,xxxx-xxxx-xxxx-6555,e720beb8-5ed0-4d62-8784-044d96cf348f,Sat Nov 28 14:52:06 CST 2020,Sun Nov 29 14:58:13 CST 2020,Same Day,GRO-BE-8200-897,Grocery,Beans,Cilantro Label Pinto Beans,4,5.79,2.78,1.35,24.59,3.6885,DistributionCenter_38,90020,90020,Declined,Los Angeles,North,CA,USA,Consumer,medium,NO,NO,,,,058-85-6332,
149-06-6168,Adriel,Goldner,xxxx-xxxx-xxxx-6676,4c1d9b88-e9d1-4ed1-84c3-2ff85a44946d,Sat Nov 28 14:53:10 CST 2020,Wed Dec 02 14:48:12 CST 2020,Second Class,GRO-PA-1452-112,Grocery,Pasta,Ranch Style Multigrain Pasta,4,6.65,2.96,2.76,26.8,3.752,DistributionCenter_48,33257,33257,Approved,Miami,South,FL,USA,Home Office,medium,NO,NO,,,,058-85-6332,
481-01-9210,Danika,Davis,xxxx-xxxx-xxxx-6237,a9942025-ab22-4290-ba31-381142925f1f,Sat Nov 28 14:56:03 CST 2020,Tue Dec 01 14:50:59 CST 2020,Standard Class,FUR-FU-0690-281,Furniture,Furnishings,Wooden Glass Frame,3,213.58,16.6,11.94,645.4,38.724,DistributionCenter_24,10167,10167,Approved,New York,East,NY,USA,Consumer,low,YES,NO,,,,,
660-98-6554,Werner,Price,xxxx-xxxx-xxxx-9494,e012f72e-614d-4164-97e9-789dd1cb4a53,Sat Nov 28 14:51:46 CST 2020,Mon Nov 30 14:53:37 CST 2020,First Class,FUR-TA-8439-411,Furniture,Tables,Bevis Conference Table - Assembled,4,212.46,11.21,10.29,850.76,127.614,DistributionCenter_92,30337,30337,Approved,Atlanta,South,GA,USA,Home Office,medium,NO,NO,No,2,re012f72e-614d-4164-97e9-789dd1cb4a53,740-59-6161;515-19-6001,
660-98-6554,Werner,Price,xxxx-xxxx-xxxx-3513,e9233220-7af0-4469-bab5-39945d729735,Sat Nov 30 14:49:23 CST 2020,Tue Dec 01 14:48:45 CST 2020,Standard Class,FUR-TA-2612-072,Furniture,Tables,Laptop Table - Multipurpose,4,300.16,14.71,13.65,1201.7,144.204,DistributionCenter_10,60656,60656,Approved,Chicago,South,IL,USA,Home Office,Critical,NO,NO,No,2,re4233220-7af0-4469-bab5-39945d729735,740-59-6161; 058-85-6332,
660-98-6554,Werner,Price,xxxx-xxxx-xxxx-3513,e8233220-7af0-4469-bab5-39945d729735,Sat Nov 30 14:49:23 CST 2020,Tue Dec 01 14:48:45 CST 2020,Standard Class,FUR-TA-2612-072,Furniture,Tables,Laptop Table - Multipurpose,4,300.16,14.71,13.65,1201.7,144.204,DistributionCenter_10,60656,60656,Approved,Chicago,South,IL,USA,Home Office,Critical,NO,NO,No,2,re4233220-7af0-4469-bab5-39945d729735,740-59-6161; 058-85-6332,
570-49-7855,Madeline,Block,xxxx-xxxx-xxxx-0790,81c696d0-482b-4027-9ede-67a5db44e6fb,Sat Nov 28 14:58:05 CST 2020,Mon Nov 30 14:53:49 CST 2020,First Class,CLO-TS-8884-919,Clothing,TShirt,Jockey Navy Blue T-Shirt,3,23.09,4.65,3.93,69.99,11.1984,DistributionCenter_97,30324,30324,Approved,Atlantic,West,IA,USA,Consumer,medium,NO,NO,,2,re9233220-7af0-4469-bab5-39945d729736,,
794-58-2522,Athena,Zemlak,xxxx-xxxx-xxxx-7774,fe5f7a97-dd8b-4125-9cf5-ada2ecd3dd53,Sat Nov 28 14:48:08 CST 2020,Wed Dec 02 14:51:00 CST 2020,Second Class,FUR-FU-1742-308,Furniture,Furnishings,Wooden Glass Frame,2,261.77,15.24,11.76,527.02,42.1616,DistributionCenter_3,60655,60655,Approved,Chicago,East,IL,USA,Consumer,low,NO,NO,,,,,
