CustomerID,FirstName,LastName,CreditCardNumber,OrderID,Customer_Occupation,Credit_Card_Number,Order_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Product_ID,Product_Name,Category,Manufacturer,Review_Rating,Delivery_Tracking_ID,Delivery_Type,Delivery_Zip_Code,Transaction_Status,Order_Returned,Order_Delivered_on_Time
566-26-0321,Rebeka,Stokes,xxxx-xxxx-xxxx-2650,50787284-d78d-4b6a-b93f-7419b0d46590,Lawyer,12345789032,98,4/7/2020,4/11/2020,4/15/2020,fit3,Fitbit small,fitness,Fitbit small,3,98,Pickup,10048,Disputed,1,1
274-18-0017,Rahsaan,Koch,xxxx-xxxx-xxxx-5055,f61639d7-28de-4507-a63a-71e99921d8f9,Lawyer,12345789032,131,5/10/2020,5/14/2020,5/18/2020,fit3,Fitbit small,fitness,Fitbit small,3,131,Pickup,10048,Disputed,1,1
455-28-7950,Zion,Osinski,xxxx-xxxx-xxxx-0150,7b1caf69-bd5b-441c-9115-6fa31ba1c313,Lawyer,12345789032,318,11/13/2020,11/17/2020,11/21/2020,fit3,Fitbit small,fitness,Fitbit small,3,318,Pickup,10048,Disputed,1,1
254-72-5938,Ward,Brekke,xxxx-xxxx-xxxx-5280,cb58e8e9-572b-4d9e-af9f-dbecf9dfd3c5,Actor,12345789032,528,2/12/2020,2/16/2020,2/20/2020,fit4,Fitbit large,fitness,Fitbit large,5,528,Pickup,10048,Disputed,0,1
563-47-8401,Terrence,Franecki,xxxx-xxxx-xxxx-1019,a9d66460-a48f-419f-8d39-7818290a3041,Actor,12345789032,561,2/12/2020,2/16/2020,2/20/2020,fit4,Fitbit large,fitness,Fitbit large,5,561,Pickup,10048,Disputed,0,1
848-43-9454,Kaylie,Welch,xxxx-xxxx-xxxx-3090,67e391c0-121b-42fc-8810-169406cc0b6d,Lawyer,12345789032,902,12/26/2020,12/30/2020,1/3/2021,fit3,Fitbit small,fitness,Fitbit small,3,902,Pickup,10048,Disputed,1,1
056-77-2913,Eva,Schaefer,xxxx-xxxx-xxxx-2623,bae5330a-f12d-462c-ab44-69633774d42d,Actor,12345789032,1021,4/24/2019,4/28/2019,5/2/2019,fit4,Fitbit large,fitness,Fitbit large,5,1021,Pickup,10048,Disputed,0,1
404-86-6657,Justus,Kub,xxxx-xxxx-xxxx-8855,04e47197-02bc-4e6a-ade8-ec6f7130cd56,Lawyer,12345789032,1223,11/12/2019,11/16/2019,11/20/2019,fit3,Fitbit small,fitness,Fitbit small,3,1223,Pickup,10048,Disputed,1,1
653-90-2575,Cordelia,Pacocha,xxxx-xxxx-xxxx-1955,452cd7d0-e717-4d22-a59b-29d145beba8b,Actor,12345789032,1257,12/16/2019,12/20/2019,12/24/2019,fit4,Fitbit large,fitness,Fitbit large,5,1257,Pickup,10048,Disputed,0,1
056-77-2913,Eva,Schaefer,xxxx-xxxx-xxxx-2623,884176b8-2ae4-435b-a9fb-fdc87a9b55fb,Actor,12345789032,1336,2/25/2019,3/1/2019,3/5/2019,fit4,Fitbit large,fitness,Fitbit large,5,1336,Pickup,10048,Disputed,0,1
704-41-5593,Joana,Parisian,xxxx-xxxx-xxxx-2909,9ae44a65-258c-4498-b2ce-d13b86a86744,Lawyer,12345789032,1425,1/21/2019,1/25/2019,1/29/2019,fit3,Fitbit small,fitness,Fitbit small,3,1425,Pickup,10048,Disputed,1,1
285-95-6400,Nelson,Kozey,xxxx-xxxx-xxxx-9752,473e04b2-5461-4847-a153-7d458229b0cc,Lawyer,12345789032,1908,4/4/2018,4/8/2018,4/12/2018,fit3,Fitbit small,fitness,Fitbit small,3,1908,Pickup,10048,Disputed,1,1
052-96-6581,Barbara,Cronin,xxxx-xxxx-xxxx-9189,07f95592-e893-4b25-a899-64a4b3d63f03,Actor,12345789032,3483,7/3/2020,7/7/2020,7/11/2020,fit4,Fitbit large,fitness,Fitbit large,5,3483,Pickup,10048,Disputed,0,1
186-68-4857,Elmer,Pfeffer,xxxx-xxxx-xxxx-2446,6b603334-ea97-443e-99e2-43af0ee7fb5f,Lawyer,12345789032,3618,12/18/2020,12/22/2020,12/26/2020,fit3,Fitbit small,fitness,Fitbit small,3,3618,Pickup,10048,Disputed,1,1
653-90-2575,Cordelia,Pacocha,xxxx-xxxx-xxxx-1955,c5727b5a-4a70-4d78-9523-cf1d342c82a0,Lawyer,12345789032,3702,3/15/2019,3/19/2019,3/23/2019,fit3,Fitbit small,fitness,Fitbit small,3,3702,Pickup,10048,Disputed,1,1
563-47-8401,Terrence,Franecki,xxxx-xxxx-xxxx-1019,ccb7e6fa-d560-4e3d-a42c-1570cebcfbf3,Actor,12345789032,3726,4/8/2019,4/12/2019,4/16/2019,fit4,Fitbit large,fitness,Fitbit large,5,3726,Pickup,10048,Disputed,0,1
576-44-1161,Aiden,Gottlieb,xxxx-xxxx-xxxx-2053,84b37ec1-aeec-494e-9877-9326564b84d0,Actor,12345789032,4310,6/6/2019,6/10/2019,6/14/2019,fit4,Fitbit large,fitness,Fitbit large,5,4310,Pickup,10048,Disputed,0,1
891-83-4542,Floy,Tremblay,xxxx-xxxx-xxxx-8845,641cdae4-6391-4ff5-abec-278f89f57663,Lawyer,12345789032,4326,7/5/2019,7/9/2019,7/13/2019,fit3,Fitbit small,fitness,Fitbit small,3,4326,Pickup,10048,Disputed,1,1
140-43-4923,Ariane,Borer,xxxx-xxxx-xxxx-0120,b309c6b5-cdbb-4f01-ac10-58209c478bba,Lawyer,12345789032,4359,10/21/2019,10/25/2019,10/29/2019,fit3,Fitbit small,fitness,Fitbit small,3,4359,Pickup,10048,Disputed,1,1
